player_id,player_name,player_state,summed_minutes_played,form,fdr,pts_irf,opp,player_position,player_cost,gwk_34_pts
101,Lowton,100,450.0,2.40,4,2.00,"WHU ",DEF,4.4,1
102,"Bernardo Silva",100,246.0,4.00,3,1.00,"CRY ",MID,7.4,0
103,Bednarek,100,450.0,2.00,4,1.00,"LEI ",DEF,4.7,2
104,Lingard,100,446.0,9.40,2,0.00,"BUR ",MID,6.6,2
105,Semedo,100,410.0,3.60,2,1.00,"WBA ",DEF,5.3,8
106,Sánchez,100,450.0,5.00,3,7.00,"LEE ",GKP,4.6,6
107,Veltman,100,450.0,5.00,3,7.00,"LEE ",DEF,4.4,6
108,Andersen,100,450.0,2.20,4,2.00,"CHE ",DEF,4.5,1
109,Antonio,0,125.0,1.60,2,9.00,"BUR ",FWD,6.4,13
110,Pickford,100,222.0,2.00,2,2.00,"AVL ",GKP,4.8,2
111,Digne,100,450.0,3.00,2,2.50,"AVL ",DEF,6.1,7
112,Castagne,100,450.0,5.60,2,6.00,"SOU ",DEF,5.8,2
113,Iheanacho,100,431.0,10.00,2,1.00,"SOU ",FWD,6.2,5
114,Holding,100,360.0,2.60,2,6.00,"NEW ",DEF,4.2,0
115,Klich,100,51.0,0.80,3,2.00,"BHA ",MID,5.2,2
116,"de Gea",100,0.0,0.00,4,7.00,"LIV ",GKP,5.3,0
117,Alioski,100,438.0,2.80,3,9.00,"ARS ",DEF,4.3,1
118,Almirón,100,430.0,2.60,3,2.00,"ARS ",MID,5.6,1
119,Højbjerg,100,450.0,2.00,2,5.00,"SHU ",MID,4.9,2
120,Bellerín,100,67.0,0.40,2,0.00,"NEW ",DEF,5.0,8
121,Cash,100,366.0,2.40,4,3.00,"LIV ",DEF,5.0,2
122,Wijnaldum,100,366.0,2.40,4,3.20,"MUN ",MID,5.3,0
123,McTominay,100,366.0,2.40,4,3.00,"LIV ",MID,4.9,0
124,Greenwood,100,378.0,7.60,4,1.00,"LIV ",MID,7.1,0
125,Ogbonna,100,180.0,0.60,2,5.00,"BUR ",DEF,4.7,0
126,Walker,100,205.0,1.80,3,6.00,"CRY ",DEF,6.1,0
127,Ayling,100,450.0,2.60,3,1.00,"BHA ",DEF,4.4,0
128,Pogba,100,277.0,3.60,4,3.00,"LIV ",MID,7.6,0
129,McGoldrick,100,333.0,2.60,4,7.00,"TOT ",FWD,5.2,2
130,McCarthy,100,90.0,0.20,4,1.00,"LEI ",GKP,4.4,5
131,"El Ghazi",100,218.0,2.80,3,2.90,"EVE ",MID,5.2,6
132,Vestergaard,100,450.0,1.80,4,0.00,"LEI ",DEF,4.7,-2
133,Walker-Peters,100,446.0,2.20,4,1.00,"LEI ",DEF,4.7,2
134,Rüdiger,100,360.0,4.60,2,8.00,"FUL ",DEF,4.7,0
135,"Thiago Silva",100,118.0,0.60,2,6.00,"FUL ",DEF,5.6,7
136,Rodrigo,100,360.0,3.00,3,0.00,"CRY ",MID,5.3,3
137,Darlow,0,0.0,0.00,3,2.00,"ARS ",GKP,4.9,0
138,Cavani,100,220.0,3.80,4,1.00,"LIV ",FWD,7.9,0
139,"Lucas Moura",100,350.0,4.40,2,1.00,"SHU ",MID,6.7,0
140,Traoré,100,450.0,4.60,2,2.00,"WBA ",MID,6.1,2
141,Tierney,75,135.0,0.40,2,6.00,"NEW ",DEF,5.2,0
142,Townsend,100,96.0,1.00,4,2.00,"MCI ",MID,5.5,2
143,Bertrand,0,360.0,2.80,4,0.00,"LEI ",DEF,5.0,0
144,Benteke,100,419.0,4.20,4,0.00,"MCI ",FWD,5.5,2
145,Rice,0,90.0,0.40,2,3.00,"BUR ",MID,4.7,0
146,Cavaleiro,100,301.0,1.80,4,2.00,"CHE ",MID,5.3,2
147,Jota,100,337.0,5.20,4,4.60,"LIV ",MID,7.1,0
148,Martial,0,0.0,0.00,4,2.00,"LIV ",FWD,8.6,0
149,Reguilón,100,389.0,1.80,2,2.00,"SHU ",DEF,5.6,6
150,Furlong,100,450.0,2.60,2,1.00,"WOL ",DEF,4.5,1
